Ministry,Dept Code,Dept Name,Division Name,Code 2,Code 3,Code 4,Description,2023-2024 Actual Expenditure,2024-2025 Budget Estimate,2024-2025 Revised Estimate,2025-2026 Budget Estimate,TYPE
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,A011,,Pay,181116,234200,206847,259200,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-116586,-162200,-144799,-185200,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-64530,-72000,-62048,-74000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,A012,,Allowances,386636,443320,360315,445421,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-222025,-354820,-271885,-368021,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-164611,-88500,-88430,-77400,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A03,,,Operating Expenses,89545,133600,127412,151050,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A04,,,Employees Retirement Benefits,11616,21000,10777,11471,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A05,,,"Grants, Subsidies and Write off Loans",148,21200,7366,21200,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A13,,,Repairs and Maintenance,5283,7200,7930,8200,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N19,NO. 009.- NATIONAL DISASTER MANAGEMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 009,CABINET DIVISION,A01,,,Employees Related Expenses,467123,549160,599160,621126,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N19,NO. 009.- NATIONAL DISASTER MANAGEMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 009,CABINET DIVISION,A01,A011,,Pay,118270,167434,241434,171039,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N19,NO. 009.- NATIONAL DISASTER MANAGEMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 009,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-62413,-88838,-142438,-90548,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N19,NO. 009.- NATIONAL DISASTER MANAGEMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 009,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-55857,-78596,-98996,-80491,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N19,NO. 009.- NATIONAL DISASTER MANAGEMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 009,CABINET DIVISION,A01,A012,,Allowances,348853,381726,357726,450087,Curnt_exp_on_rev_acct
